Student ID,Category,Grade,Pre Assessment,Mid Assessment,Post Assessment,Final Culmination
A001,SECONDARY,2,2,7,,1
A001,SECONDARY,2,3,7,,1
A001,SECONDARY,2,4,7,,1
A001,SECONDARY,2,5,7,,1
A001,SECONDARY,2,6,7,,1
A001,SECONDARY,2,7,7,,1
A001,SECONDARY,2,8,7,,1
A001,SECONDARY,2,9,7,,1
A001,SECONDARY,2,1,1,,1
A002,PRIMARY,2,1,3,3.0,
A002,PRIMARY,2,2,3,3.0,
A002,PRIMARY,2,3,3,3.0,
A002,PRIMARY,2,4,3,3.0,
A002,PRIMARY,2,5,3,3.0,
A002,PRIMARY,2,6,3,3.0,
A002,PRIMARY,2,7,3,3.0,
A002,PRIMARY,2,8,3,3.0,
A002,PRIMARY,2,9,3,3.0,
